Division,Line,Station_Name,Station_Latitude,Station_Longitude,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,Entrance_Type,Entry,Exit_Only,Vending,Staffing,Staff_Hours,ADA,ADA_Notes,Free_Crossover,North_South_Street,East_West_Street,Corner,Latitude,Longitude
IND,8 Avenue,Chambers St,40.714111,-74.008585,A,C,E,2,3,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Church St,Murray St,SW,40.713753,-74.009046
IND,8 Avenue,Chambers St,40.714111,-74.008585,A,C,E,2,3,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Church St,Chambers St,SW,40.714873,-74.008162
IND,8 Avenue,Chambers St,40.714111,-74.008585,A,C,E,2,3,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Church St,Chambers St,SE,40.714777,-74.007903
IND,8 Avenue,Chambers St,40.714111,-74.008585,A,C,E,2,3,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Church St,Chambers St,NW,40.715099,-74.007989
IND,8 Avenue,Chambers St,40.714111,-74.008585,A,C,E,2,3,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Church St,Chambers St,NE,40.714992,-74.007739
IND,8 Avenue,Chambers St,40.714111,-74.008585,A,C,E,2,3,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Church St,Murray St,NW,40.713949,-74.00896
IND,8 Avenue,Chambers St,40.714111,-74.008585,A,C,E,2,3,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Church St,Warren St,SW,40.714313,-74.008584
IND,8 Avenue,Chambers St,40.714111,-74.008585,A,C,E,2,3,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Church St,Warren St,NW,40.714539,-74.008428
IND,8 Avenue,Chambers St,40.714111,-74.008585,A,C,E,2,3,,,,,,,Stair,NO,Yes,NO,NONE,,FALSE,,TRUE,Church St,Warren St,SE,40.7142,-74.008357
BMT,Nassau,Chambers St,40.71419,-74.003199,J,Z,4,5,6,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Lafayette St,Duane St,NE,40.714199,-74.003187
IRT,Broadway-7th Ave,Chambers St,40.715478,-74.009266,1,2,3,,,,,,,,,Stair,YES,,YES,FULL,,TRUE,,TRUE,Chambers St,West Broadway,SW,40.715444,-74.009453
IRT,Broadway-7th Ave,Chambers St,40.715478,-74.009266,1,2,3,,,,,,,,,Stair,YES,,YES,FULL,,TRUE,,TRUE,Chambers St,West Broadway,SE,40.715349,-74.009211
IRT,Broadway-7th Ave,Chambers St,40.715478,-74.009266,1,2,3,,,,,,,,,Stair,YES,,YES,FULL,,TRUE,,TRUE,Chambers St,West Broadway,NW,40.715736,-74.009328
IRT,Broadway-7th Ave,Chambers St,40.715478,-74.009266,1,2,3,,,,,,,,,Stair,YES,,YES,FULL,,TRUE,,TRUE,Chambers St,West Broadway,NE,40.715576,-74.009031
IRT,Broadway-7th Ave,Chambers St,40.715478,-74.009266,1,2,3,,,,,,,,,Stair,YES,,YES,FULL,,TRUE,,TRUE,Chambers St,Broadway,SW,40.715539,-74.009427
BMT,Nassau,Canal St,40.718092,-73.999892,J,N,Q,R,Z,6,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Centre St,Canal St,SW,40.717823,-74.000326
IND,6 Avenue,Grand St,40.718267,-73.993753,B,D,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Chrystie St,Grand St,NE,40.718155,-73.993452
IND,6 Avenue,Grand St,40.718267,-73.993753,B,D,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Chrystie St,Grand St,NE,40.718191,-73.993577
IND,6 Avenue,Grand St,40.718267,-73.993753,B,D,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Chrystie St,Grand St,NW,40.718265,-73.993877
IRT,Lexington,Canal St,40.718803,-74.000193,J,N,Q,R,Z,6,,,,,,Stair,YES,,YES,FULL,,TRUE,Bway Nass not ADA,TRUE,Lafayette St,Canal St,SE,40.718155,-74.000317
IRT,Lexington,Canal St,40.718803,-74.000193,J,N,Q,R,Z,6,,,,,,Stair,YES,,YES,FULL,,TRUE,Bway Nass not ADA,TRUE,Lafayette St,Canal St,SE,40.718197,-74.000388
IRT,Lexington,Canal St,40.718803,-74.000193,J,N,Q,R,Z,6,,,,,,Elevator,YES,,YES,NONE,,TRUE,Bway Nass not ADA,TRUE,Lafayette St,Canal St,NE,40.718304,-74.000138
IRT,Lexington,Canal St,40.718803,-74.000193,J,N,Q,R,Z,6,,,,,,Stair,YES,,YES,NONE,,TRUE,Bway Nass not ADA,TRUE,Lafayette St,Canal St,NE,40.718358,-74.000216
IRT,Lexington,Canal St,40.718803,-74.000193,J,N,Q,R,Z,6,,,,,,Elevator,NO,,NO,NONE,,TRUE,Bway Nass not ADA,TRUE,Lafayette St,Canal St,NW,40.718589,-74.000552
IRT,Lexington,Canal St,40.718803,-74.000193,J,N,Q,R,Z,6,,,,,,Stair,NO,,NO,NONE,,TRUE,Bway Nass not ADA,TRUE,Lafayette St,Canal St,SW,40.718506,-74.000826
IRT,Lexington,Canal St,40.718803,-74.000193,J,N,Q,R,Z,6,,,,,,Stair,NO,,NO,NONE,,TRUE,Bway Nass not ADA,TRUE,Lafayette St,Canal St,NW,40.718638,-74.000623
IRT,Broadway-7th Ave,Franklin St,40.719318,-74.006886,1,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,West Broadway,Franklin St,SW,40.719001,-74.006675
IRT,Broadway-7th Ave,Franklin St,40.719318,-74.006886,1,,,,,,,,,,,Stair,NO,Yes,NO,NONE,,FALSE,,FALSE,Varick St,North Moore St,NE,40.719918,-74.00662
IRT,Broadway-7th Ave,Franklin St,40.719318,-74.006886,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Varick St,Franklin St,SW,40.718965,-74.007121
IRT,Broadway-7th Ave,Franklin St,40.719318,-74.006886,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Varick St,Franklin St,NW,40.719251,-74.007058
IRT,Broadway-7th Ave,Franklin St,40.719318,-74.006886,1,,,,,,,,,,,Stair,NO,Yes,NO,NONE,,FALSE,,FALSE,Varick St,North Moore St,NW,40.719888,-74.006925
BMT,Broadway,Canal St (UL),40.719527,-74.001775,J,N,Q,R,Z,6,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Broadway,Canal St,NW,40.719585,-74.00193
BMT,Broadway,Canal St (UL),40.719527,-74.001775,J,N,Q,R,Z,6,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Broadway,Canal St,NW,40.71966,-74.002019
BMT,Broadway,Canal St (UL),40.719527,-74.001775,J,N,Q,R,Z,6,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Broadway,Canal St,SW,40.719408,-74.002158
BMT,Broadway,Canal St (UL),40.719527,-74.001775,J,N,Q,R,Z,6,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Broadway,Canal St,SW,40.71946,-74.002236
BMT,Broadway,Canal St (UL),40.719527,-74.001775,J,N,Q,R,Z,6,,,,,,Stair,YES,,YES,PART,6am-9:40pm everyday,FALSE,,TRUE,Broadway,Canal St,NE,40.719498,-74.001606
BMT,Broadway,Canal St (UL),40.719527,-74.001775,J,N,Q,R,Z,6,,,,,,Stair,YES,,YES,PART,6am-9:40pm everyday,FALSE,,TRUE,Broadway,Canal St,SE,40.719218,-74.00185
BMT,Broadway,Canal St (UL),40.719527,-74.001775,J,N,Q,R,Z,6,,,,,,Stair,YES,,YES,PART,6am-9:40pm everyday,FALSE,,TRUE,Broadway,Canal St,SE,40.719166,-74.001774
BMT,Nassau,Bowery,40.72028,-73.993915,J,Z,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Bowery,Delancey St,SE,40.719977,-73.993576
BMT,Nassau,Bowery,40.72028,-73.993915,J,Z,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Bowery,Delencey St,NE,40.720291,-73.993411
IND,8 Avenue,Canal St,40.720824,-74.005229,A,C,E,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Lispenard St,West Broadway,NE,40.720704,-74.004999
IND,8 Avenue,Canal St,40.720824,-74.005229,A,C,E,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,6th Ave,West Broadway,NW,40.720758,-74.005399
IND,8 Avenue,Canal St,40.720824,-74.005229,A,C,E,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,St. John La,Laight St,SE,40.721651,-74.005634
IND,8 Avenue,Canal St,40.720824,-74.005229,A,C,E,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Thompson St,Canal St,NE,40.721967,-74.005133
IND,8 Avenue,Canal St,40.720824,-74.005229,A,C,E,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,6th Ave,Walker St,NE,40.71987,-74.005038
IRT,Lexington,Spring St,40.722301,-73.997141,6,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Lafayette St,Spring St,SE,40.722116,-73.996912
IRT,Lexington,Spring St,40.722301,-73.997141,6,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Lafayette St,Spring St,NE,40.722235,-73.996818
IRT,Lexington,Spring St,40.722301,-73.997141,6,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Lafayette St,Spring St,NW,40.722468,-73.997397
IRT,Lexington,Spring St,40.722301,-73.997141,6,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Lafayette St,Spring St,SW,40.72239,-73.997437
IRT,Broadway-7th Ave,Canal St,40.722854,-74.006277,1,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Canal St,Varick St,NE,40.722569,-74.00608
IRT,Broadway-7th Ave,Canal St,40.722854,-74.006277,1,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Canal St,Varick St,NE,40.722497,-74.005994
IRT,Broadway-7th Ave,Canal St,40.722854,-74.006277,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Canal St,Varick St,NW,40.722932,-74.00662
IRT,Broadway-7th Ave,Canal St,40.722854,-74.006277,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Canal St,Varick St,NW,40.722878,-74.006518
BMT,Broadway,Prince St,40.724329,-73.997702,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Broadway,Prince St,SE,40.724124,-73.997686
BMT,Broadway,Prince St,40.724329,-73.997702,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Broadway,Prince St,NE,40.72422,-73.997633
BMT,Broadway,Prince St,40.724329,-73.997702,N,R,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Broadway,Prince St,SW,40.72426,-73.997957
BMT,Broadway,Prince St,40.724329,-73.997702,N,R,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Broadway,Prince St,NW,40.724344,-73.997875
IND,6 Avenue,Broadway-Lafayette St,40.725297,-73.996204,B,D,F,M,6,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Broadway,Houston St,NE,40.725202,-73.996583
IND,6 Avenue,Broadway-Lafayette St,40.725297,-73.996204,B,D,F,M,6,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,Broadway,Houston St,SE,40.725499,-73.996387
IND,6 Avenue,Broadway-Lafayette St,40.725297,-73.996204,B,D,F,M,6,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,Crosby St,Houston St,NE,40.725344,-73.995612
IND,6 Avenue,Broadway-Lafayette St,40.725297,-73.996204,B,D,F,M,6,,,,,,,Stair,NO,,NO,NONE,,FALSE,,TRUE,Lafayette St,Houston St,SW,40.724987,-73.995628
IND,6 Avenue,Broadway-Lafayette St,40.725297,-73.996204,B,D,F,M,6,,,,,,,Stair,NO,,NO,NONE,,FALSE,,TRUE,Crosby St,Houston St,SE,40.725011,-73.995745
IRT,Lexington,Bleecker St,40.725915,-73.994659,B,D,F,M,6,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Lafayette St,Mulberry St,SW,40.725726,-73.994579
IRT,Lexington,Bleecker St,40.725915,-73.994659,B,D,F,M,6,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Lafayette St,Mulberry St,SE,40.725755,-73.994367
IRT,Lexington,Bleecker St,40.725915,-73.994659,B,D,F,M,6,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Lafayette St,Mulberry St,NE,40.725845,-73.99432
IRT,Lexington,Bleecker St,40.725915,-73.994659,B,D,F,M,6,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,,,,40.725137,-73.994938
IRT,Lexington,Bleecker St,40.725915,-73.994659,B,D,F,M,6,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,,,,40.724888,-73.995291
IRT,Lexington,Bleecker St,40.725915,-73.994659,B,D,F,M,6,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Lafayette St,Bleecker St,SW,40.725958,-73.994829
IRT,Lexington,Bleecker St,40.725915,-73.994659,B,D,F,M,6,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Lafayette St,Bleecker St,NW,40.726047,-73.994759
IND,8 Avenue,Spring St,40.726227,-74.003739,C,E,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,6th Ave,Spring St,NE,40.725583,-74.003747
IND,8 Avenue,Spring St,40.726227,-74.003739,C,E,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,6th Ave,Spring St,NW,40.725595,-74.004326
IND,8 Avenue,Spring St,40.726227,-74.003739,C,E,,,,,,,,,,Stair,YES,,NO,NONE,,FALSE,,TRUE,6th Ave,Vandam St,SW,40.726208,-74.00399
IRT,Broadway-7th Ave,Houston St,40.728251,-74.005367,1,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Varick St,Houston St,SE,40.728472,-74.005188
IRT,Broadway-7th Ave,Houston St,40.728251,-74.005367,1,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Varick St,Houston St,NE,40.728656,-74.005086
IRT,Broadway-7th Ave,Houston St,40.728251,-74.005367,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Varick St,King St,SE,40.727739,-74.005305
IRT,Broadway-7th Ave,Houston St,40.728251,-74.005367,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Varick St,King St,NE,40.727989,-74.005258
IRT,Broadway-7th Ave,Houston St,40.728251,-74.005367,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Varick St,King St,SW,40.72784,-74.005681
IRT,Broadway-7th Ave,Houston St,40.728251,-74.005367,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Varick St,King St,NW,40.727983,-74.00565
IRT,Broadway-7th Ave,Houston St,40.728251,-74.005367,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Varick St,Houston St,SW,40.728561,-74.00554
IRT,Broadway-7th Ave,Houston St,40.728251,-74.005367,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Varick St,Houston St,NW,40.728686,-74.005517
IRT,Lexington,Astor Place,40.730054,-73.99107,6,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,4th Ave,East 8th St,NE,40.730084,-73.990838
IRT,Lexington,Astor Place,40.730054,-73.99107,6,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Lafayette St,Astor Pl,NW,40.729968,-73.99141
BMT,Broadway,8th St,40.730328,-73.992629,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Broadway,8th Ave,SE,40.730477,-73.992286
BMT,Broadway,8th St,40.730328,-73.992629,N,R,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,Broadway,8th Ave,NE,40.730578,-73.992216
BMT,Broadway,8th St,40.730328,-73.992629,N,R,,,,,,,,,,Stair,YES,,NO,NONE,,FALSE,,FALSE,Broadway,Waverly Pl,NE,40.729678,-73.993051
BMT,Broadway,8th St,40.730328,-73.992629,N,R,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Broadway,8th Ave,SW,40.730642,-73.992737
BMT,Broadway,8th St,40.730328,-73.992629,N,R,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Broadway,8th Ave,SW,40.730592,-73.99262
BMT,Broadway,8th St,40.730328,-73.992629,N,R,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Broadway,8th Ave,NW,40.730716,-73.992517
BMT,Broadway,8th St,40.730328,-73.992629,N,R,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,Broadway,8th Ave,NW,40.730773,-73.992641
BMT,Broadway,8th St,40.730328,-73.992629,N,R,,,,,,,,,,Stair,NO,,NO,NONE,,FALSE,,FALSE,Broadway,Waverly Pl,NW,40.729778,-73.993262
IND,8 Avenue,West 4th St,40.732338,-74.000495,A,B,C,D,E,F,M,,,,,Elevator,YES,,YES,FULL,,TRUE,,TRUE,,,,40.731086,-74.001209
IND,8 Avenue,West 4th St,40.732338,-74.000495,A,B,C,D,E,F,M,,,,,Stair,YES,,YES,FULL,,TRUE,,TRUE,6th Ave,West 3rd St,NW,40.731133,-74.001534
IND,8 Avenue,West 4th St,40.732338,-74.000495,A,B,C,D,E,F,M,,,,,Stair,YES,,YES,FULL,,TRUE,,TRUE,6th Ave,West 3rd St,NE,40.731091,-74.001127
IND,8 Avenue,West 4th St,40.732338,-74.000495,A,B,C,D,E,F,M,,,,,Stair,YES,,YES,NONE,,TRUE,,TRUE,6th Ave,Waverly Pl,NE,40.733067,-73.999728
IND,8 Avenue,West 4th St,40.732338,-74.000495,A,B,C,D,E,F,M,,,,,Stair,YES,,YES,NONE,,TRUE,,TRUE,6th Ave,Waverly Pl,NE,40.733259,-73.999615
IND,8 Avenue,West 4th St,40.732338,-74.000495,A,B,C,D,E,F,M,,,,,Stair,YES,,YES,NONE,,TRUE,,TRUE,6th Ave,Waverly Pl,NW,40.733072,-74.000192
BMT,Canarsie,3rd Av,40.732849,-73.986122,L,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,3rd Ave,14th St,SE,40.732961,-73.986657
BMT,Canarsie,3rd Av,40.732849,-73.986122,L,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,3rd Ave,14th St,SE,40.733134,-73.987041
BMT,Canarsie,3rd Av,40.732849,-73.986122,L,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,3rd Ave,14th St,NE,40.733122,-73.986548
BMT,Canarsie,3rd Av,40.732849,-73.986122,L,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,3rd Ave,14th St,NE,40.733277,-73.986931
IRT,Broadway-7th Ave,Christopher St,40.733422,-74.002906,1,,,,,,,,,,,Stair,YES,,YES,FULL,,FALSE,,FALSE,7th Ave,West 4th St,SE,40.733402,-74.002748
IRT,Broadway-7th Ave,Christopher St,40.733422,-74.002906,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,7th Ave,Christopher St,SW,40.733515,-74.003147
IRT,Broadway-7th Ave,Christopher St,40.733422,-74.002906,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,7th Ave,Christopher St,SW,40.733467,-74.003076
IRT,Broadway-7th Ave,Christopher St,40.733422,-74.002906,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,7th Ave,Christopher St,NW,40.733634,-74.003123
IRT,Broadway-7th Ave,Christopher St,40.733422,-74.002906,1,,,,,,,,,,,Stair,YES,,YES,NONE,,FALSE,,FALSE,7th Ave,Christopher St,NW,40.733652,-74.003006
IRT,Lexington,14th St-Union Square,40.734673,-73.989951,L,N,Q,R,4,5,6,,,,,Easement,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,14th St,NE,40.734406,-73.989437
IRT,Lexington,14th St-Union Square,40.734673,-73.989951,L,N,Q,R,4,5,6,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,14th St,SE,40.73418,-73.989549
IRT,Lexington,14th St-Union Square,40.734673,-73.989951,L,N,Q,R,4,5,6,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,4th Ave,14th St,SE,40.734222,-73.989674
IRT,Lexington,14th St-Union Square,40.734673,-73.989951,L,N,Q,R,4,5,6,,,,,Easement,YES,,YES,NONE,,FALSE,,TRUE,4th Ave,15th St,SW,40.735184,-73.989793
IRT,Lexington,14th St-Union Square,40.734673,-73.989951,L,N,Q,R,4,5,6,,,,,Stair,YES,,NO,NONE,,FALSE,,TRUE,4th Ave,14th St,SW,40.734495,-73.990311
IRT,Lexington,14th St-Union Square,40.734673,-73.989951,L,N,Q,R,4,5,6,,,,,Stair,YES,,NO,NONE,,FALSE,,TRUE,4th Ave,14th St,SW,40.734444,-73.990184
BMT,Canarsie,Union Square,40.734789,-73.99073,L,N,Q,R,4,5,6,,,,,Stair,YES,,YES,NONE,,TRUE,Lex not ADA,TRUE,Broadway,14th St,SW,40.734755,-73.990991
BMT,Canarsie,Union Square,40.734789,-73.99073,L,N,Q,R,4,5,6,,,,,Stair,YES,,YES,NONE,,TRUE,Lex not ADA,TRUE,Broadway,14th St,SW,40.734859,-73.991235
BMT,Broadway,Union Square,40.735736,-73.990568,L,N,Q,R,4,5,6,,,,,Stair,YES,,YES,FULL,,TRUE,Lex not ADA,TRUE,Broadway,14th St,NE,40.735278,-73.991058
BMT,Broadway,Union Square,40.735736,-73.990568,L,N,Q,R,4,5,6,,,,,Stair,YES,,YES,NONE,,TRUE,Lex not ADA,TRUE,Broadway,16th St,SE,40.736339,-73.990603
BMT,Broadway,Union Square,40.735736,-73.990568,L,N,Q,R,4,5,6,,,,,Stair,YES,,YES,NONE,,TRUE,Lex not ADA,TRUE,Broadway,16th St,NE,40.736523,-73.990447
BMT,Broadway,Union Square,40.735736,-73.990568,L,N,Q,R,4,5,6,,,,,Stair,NO,,NO,NONE,,TRUE,Lex not ADA,TRUE,4th Ave,15th St,SW,40.735311,-73.990265
BMT,Canarsie,6th Av,40.737335,-73.996786,F,L,M,1,2,3,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,6th Ave,14th St,SE,40.737197,-73.996704
BMT,Canarsie,6th Av,40.737335,-73.996786,F,L,M,1,2,3,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,6th Ave,14th St,SE,40.737149,-73.996578
IRT,Broadway-7th Ave,14th St,40.737826,-74.000201,F,L,M,1,2,3,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,7th Ave,14th St,SW,40.738484,-73.999914
IRT,Broadway-7th Ave,14th St,40.737826,-74.000201,F,L,M,1,2,3,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,7th Ave,14th St,NW,40.738775,-73.999711
IRT,Broadway-7th Ave,14th St,40.737826,-74.000201,F,L,M,1,2,3,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,7th Ave,14th St,NE,40.738585,-73.999405
IRT,Broadway-7th Ave,14th St,40.737826,-74.000201,F,L,M,1,2,3,,,,,,Stair,YES,,NO,NONE,,FALSE,,TRUE,7th Ave,14th St,SE,40.738358,-73.999656
IRT,Broadway-7th Ave,14th St,40.737826,-74.000201,F,L,M,1,2,3,,,,,,Stair,YES,Yes,NO,NONE,,FALSE,,TRUE,7th Ave,13th St,NW,40.738013,-74.000329
IRT,Broadway-7th Ave,14th St,40.737826,-74.000201,F,L,M,1,2,3,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,7th Ave,12th St,NW,40.737388,-74.000815
IRT,Broadway-7th Ave,14th St,40.737826,-74.000201,F,L,M,1,2,3,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,7th Ave,12th St,NE,40.737197,-74.0004
IRT,Broadway-7th Ave,14th St,40.737826,-74.000201,F,L,M,1,2,3,,,,,,Stair,NO,Yes,NO,NONE,,FALSE,,TRUE,7th Ave,13th St,NE,40.737846,-73.99993
IND,6 Avenue,14th St,40.738228,-73.996209,F,L,M,1,2,3,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,6th Ave,14th St,SW,40.737423,-73.99722
IND,6 Avenue,14th St,40.738228,-73.996209,F,L,M,1,2,3,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,6th Ave,14th St,NW,40.737572,-73.997111
IND,6 Avenue,14th St,40.738228,-73.996209,F,L,M,1,2,3,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,6th Ave,14th St,NW,40.737519,-73.99697
IND,6 Avenue,14th St,40.738228,-73.996209,F,L,M,1,2,3,,,,,,Stair,YES,,YES,FULL,,FALSE,,TRUE,6th Ave,14th St,SW,40.73737,-73.997079
IND,6 Avenue,14th St,40.738228,-73.996209,F,L,M,1,2,3,,,,,,Stair,YES,,YES,NONE,,FALSE,,TRUE,6th Ave,16th St,NE,40.738678,-73.995632
